Manager of the Esenler branch is Derem Acar.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Merkez branch this month are: 256
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Hatunana Ekinci is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Kartal branch is Halas Demir.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Sereflikochisar branch this month are: 561
There is no such employee.
There is no such employee.
Manager of the Beydag branch is Erendiz Kose.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Araban branch is Canel Aydemir.
There is no such employee.
Manager of the Buyukcekmece branch is Hamide Temel.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Kadime Aksoy is dismissed from branch: Cigli.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Adakli branch is Cankut Erkan.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Sariyer branch is Fadile Demirci.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Erna Senol is promoted from Cashier to Cook.
There is no such employee.
Manager of the Baglar branch is Kamer Guler.
Manager of the Beyoglu branch is Aysel Buyuk.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Acigol branch is Fatma Ceylan.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Lice branch is Karya Aydemir.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Umraniye branch are: 200057
There is no such employee.
There is no such employee.
Total bonuses for the Yesilyurt branch this month are: 416
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Odemis branch is Cenah Kucuk.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Oguzeli branch is Destan Aslan.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Cubuk branch is Damla Alkan.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Bengi Gunes is dismissed from branch: Darende.
Felit Yildiran is dismissed from branch: Cermik.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Golbasi branch is Gokberk Karahan.
There is no such employee.
There is no such employee.
Total bonuses for the Bagcilar branch this month are: 527
Manager of the Gaziemir branch is Ecevit Ozturk.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Buyukorhan branch this month are: 1143
There is no such employee.
There is no such employee.
Manager of the Karkamis branch is Ayvaz Akpinar.
Fatine Avci is dismissed from branch: Keles.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Delice Sarac is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Kulp branch is Derin Seker.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Pursaklar branch is Gani Durmaz.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Arapgir branch is Dilbirin Aydin.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Baglar branch this month are: 523
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Gursu branch is Felek Erkan.
Isfendiyar Tekin is dismissed from branch: Zeytinburnu.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Cavlan Cicek is dismissed from branch: Pursaklar.
There is no such employee.
Manager of the Kuluncak branch is Gezer Duran.
Cankat Cicek is dismissed from branch: Beydag.
Manager of the Beyoglu branch is Aysel Buyuk.
There is no such employee.
Manager of the Cubuk branch is Damla Alkan.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Sahinbey branch this month are: 1325
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Ifakat Gul is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Cigli branch is Hafsa Ipek.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Golbasi branch are: 198885
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Acigol branch this month are: 1183
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Yenimahalle branch is Erinç Akpinar.
There is no such employee.
There is no such employee.
There is no such employee.
Larissa Aktas is leaving from branch: Darende.
There is no such employee.
There is no such employee.
There is no such employee.
Lalin Mengi is dismissed from branch: Menemen.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Elmadag branch this month are: 824
There is no such employee.
There is no such employee.
Total bonuses for the Cinar branch this month are: 1779
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Kartal branch this month are: 2033
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Buyukorhan branch this month are: 1729
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Yayladere branch is Dilkeste Duran.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Sivrice branch is Mahzure Kilicaslan.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Nilufer branch is Bahamra Nas.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Karsel branch is Kevser Genc.
Total bonuses for the Haymana branch are: 206111
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Acer Korkmaz is dismissed from branch: Tire.
Manager of the Buyukorhan branch is Benan Toprak.
There is no such employee.
Manager of the Pursaklar branch is Gani Durmaz.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Haymana branch are: 206293
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Durul Alp is dismissed from branch: Baglar.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Sivrice branch this month are: 1217
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Gursu branch is Felek Erkan.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Acigol branch this month are: 1501
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Adakli branch is Cankut Erkan.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Irsad Kilicarslan is dismissed from branch: Gaziemir.
Total bonuses for the Adakli branch this month are: 1935
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Cigli branch is Hafsa Ipek.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Merkez branch is Ezeli Aksoy.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
İlayda Dede is dismissed from branch: Kuluncak.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Yenimahalle branch is Erinç Akpinar.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Sereflikochisar branch are: 201143
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Genc branch is Ece Guler.
Fitnat Kocaman is dismissed from branch: Karkamis.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Gaziemir branch are: 202768
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Cubuk branch are: 198983
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Lice branch is Karya Aydemir.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Dilsafa Yuksel is dismissed from branch: Sile.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Solhan branch is Feridun Toprak.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Gaziemir branch are: 202942
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Cermik branch are: 204643
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Cesme branch is Bartu Gunay.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Battalgazi branch is Halim Yilmaz.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Torbali branch is Delistan Ozdemir.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Mahinur Gunay is dismissed from branch: Bismil.
Total bonuses for the Akyurt branch are: 204121
There is no such employee.
There is no such employee.
Total bonuses for the Zeytinburnu branch this month are: 1580
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Battalgazi branch this month are: 1787
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Gungoren branch are: 189264
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Beypazari branch this month are: 1594
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Umraniye branch is Cannur Ozdemir.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Sincan branch this month are: 1701
There is no such employee.
There is no such employee.
There is no such employee.
Ekenel Kuru is dismissed from branch: Adakli.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Arguvan branch is Burç Yildiran.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Kevser Erkan is dismissed from branch: Gungoren.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Buyukorhan branch is Benan Toprak.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Cihanay Aydin is dismissed from branch: Gursu.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Sivrice branch this month are: 2597
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Ceydasu Cicek is dismissed from branch: Genc.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Cermik branch is Alara Yildirim.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Nilufer branch is Bahamra Nas.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Kartal branch is Halas Demir.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Dildan Ipek is dismissed from branch: Merkez.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Darende branch is Merzuka Ucar.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Sehitkamil branch is Farika Oz.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Dogansehir branch is Levin Oz.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Karabaglar branch is Daime Ozdemir.
There is no such employee.
There is no such employee.
Manager of the Battalgazi branch is Halim Yilmaz.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Baglar branch is Kamer Guler.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Kagithane branch is Gilyas Ekinci.
There is no such employee.
There is no such employee.
Total bonuses for the Gursu branch this month are: 3081
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Darende branch are: 191655
There is no such employee.
Total bonuses for the Yayladere branch are: 215367
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Sincan branch is Karmen Kilic.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Cubuk branch this month are: 2428
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Tire branch is Elacık Elmas.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Keles branch are: 210567
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Cigli branch this month are: 3062
Manager of the Dogansehir branch is Levin Oz.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Fatih branch this month are: 3451
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Sivrice branch is Mahzure Kilicaslan.
Total bonuses for the Sahinbey branch are: 197172
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Ilgaz Acar is dismissed from branch: Karabaglar.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Battalgazi branch this month are: 2844
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Orhangazi branch are: 201866
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Torbali branch this month are: 3192
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Baglar branch is Kamer Guler.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Cavlan Kucuk is dismissed from branch: Bahcelievler.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Etfal Duran is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
